sample,read_id,upstream_flank_len,core_repeat_len,downstream_flank_len,total_length,cag_units,caa_units,cga_units,event_count,total_event_bp,frameshift_events,in_frame_events,avg_event_length,oof_patterns
H1,m84137_260214_004236_s1/63636349/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/48302450/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/189729667/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/105188080/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/154665122/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/225510124/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/80680288/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/163123464/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/216599389/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/224923129/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/205853150/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/252251904/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/234229998/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/232783975/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/147003199/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/262736952/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/9702322/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/169739002/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/59507579/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/154801305/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/144182633/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/186256886/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/87165700/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/88869636/ccs,50,137,78,265,23,1,0,3,8,3,0,2.6666666666666665,3
H1,m84137_260214_004236_s1/248189588/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/190710677/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/230951802/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/156243753/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/93914567/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/207946704/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/95292667/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/31197751/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/158402119/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/171968358/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/232786481/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/108728536/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/133895988/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/160633913/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/125703149/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/83564162/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/109903953/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/131400173/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/114492855/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/9112820/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/155193049/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/224663430/ccs,50,129,87,266,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/80153931/ccs,50,130,86,266,31,0,0,1,1,1,0,1.0,0
H1,m84137_260214_004236_s1/160303238/ccs,50,131,86,267,41,0,0,1,2,1,0,2.0,0
H1,m84137_260214_004236_s1/132252623/ccs,50,131,86,267,9,0,0,2,5,2,0,2.5,0
H1,m84137_260214_004236_s1/176032352/ccs,50,131,86,267,9,0,0,1,2,1,0,2.0,0
H1,m84137_260214_004236_s1/114102493/ccs,50,131,86,267,22,0,0,1,2,1,0,2.0,1
H1,m84137_260214_004236_s1/239666375/ccs,50,131,86,267,26,0,0,1,2,1,0,2.0,1
H1,m84137_260214_004236_s1/174197092/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/203359391/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
