sample,read_id,allele,CAG_count,CAA_count,Repeat_region_length,Repeat_matches_bp,Repeat_insertions_bp,Repeat_complexity_score,Repeat_class,Read_length,Mapping_quality
Control_11,m84137_260214_004236_s1/137628239/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/138281048/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/161354113/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/45223569/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/46143063/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/65078246/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/91493051/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/246876716/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/139722970/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/196610135/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/228919285/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/98178407/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/83104756/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/235736612/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/87689640/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/149423134/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/190191406/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/44305192/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/8131357/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/221381301/ccs,1,8,3,203,193,10,0.04926108374384237,Pure,203,60
Control_11,m84137_260214_004236_s1/215225629/ccs,0,8,2,203,191,12,0.059113300492610835,Interrupted,203,60
Control_11,m84137_260214_004236_s1/144118649/ccs,0,8,2,203,193,10,0.04926108374384237,Pure,203,60
Control_11,m84137_260214_004236_s1/59050330/ccs,1,8,2,203,193,10,0.04926108374384237,Pure,203,60
Control_11,m84137_260214_004236_s1/197527014/ccs,1,8,2,203,193,10,0.04926108374384237,Pure,203,60
Control_11,m84137_260214_004236_s1/49348755/ccs,1,8,2,204,193,11,0.05392156862745098,Interrupted,204,60
Control_11,m84137_260214_004236_s1/26543554/ccs,1,8,2,204,193,11,0.05392156862745098,Interrupted,204,60
Control_11,m84137_260214_004236_s1/44630923/ccs,1,8,2,204,193,11,0.05392156862745098,Interrupted,204,60
Control_11,m84137_260214_004236_s1/212469606/ccs,1,8,2,204,193,11,0.05392156862745098,Interrupted,204,60
Control_11,m84137_260214_004236_s1/158730485/ccs,1,8,2,204,193,11,0.05392156862745098,Interrupted,204,60
Control_11,m84137_260214_004236_s1/238945334/ccs,1,8,2,204,193,11,0.05392156862745098,Interrupted,204,60
Control_11,m84137_260214_004236_s1/236720538/ccs,1,8,2,204,193,11,0.05392156862745098,Interrupted,204,60
Control_11,m84137_260214_004236_s1/66782430/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/129303004/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/171248104/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/197922584/ccs,0,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/172364569/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/91423042/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
